Ref_Date,GEO,Geographical classification,SALES,ADJUSTMENT,Vector,Coordinate,Value
1991/08,Canada,,Sales including concessions,"Seasonally adjusted (x 1,000)",v15180304,1.1.2,1089758
1991/09,Canada,,Sales including concessions,"Seasonally adjusted (x 1,000)",v15180304,1.1.2,1063109
1991/10,Canada,,Sales including concessions,"Seasonally adjusted (x 1,000)",v15180304,1.1.2,1066189
1991/11,Canada,,Sales including concessions,"Seasonally adjusted (x 1,000)",v15180304,1.1.2,1081505
1991/12,Canada,,Sales including concessions,"Seasonally adjusted (x 1,000)",v15180304,1.1.2,1088023
1992/01,Canada,,Sales including concessions,"Seasonally adjusted (x 1,000)",v15180304,1.1.2,1041789
1992/02,Canada,,Sales including concessions,"Seasonally adjusted (x 1,000)",v15180304,1.1.2,1091293
1992/03,Canada,,Sales including concessions,"Seasonally adjusted (x 1,000)",v15180304,1.1.2,1068073
1992/04,Canada,,Sales including concessions,"Seasonally adjusted (x 1,000)",v15180304,1.1.2,1092933
1992/05,Canada,,Sales including concessions,"Seasonally adjusted (x 1,000)",v15180304,1.1.2,1084375
1992/06,Canada,,Sales including concessions,"Seasonally adjusted (x 1,000)",v15180304,1.1.2,1084549
1992/07,Canada,,Sales including concessions,"Seasonally adjusted (x 1,000)",v15180304,1.1.2,1104095
1992/08,Canada,,Sales including concessions,"Seasonally adjusted (x 1,000)",v15180304,1.1.2,1098888
1992/09,Canada,,Sales including concessions,"Seasonally adjusted (x 1,000)",v15180304,1.1.2,1096464
1992/10,Canada,,Sales including concessions,"Seasonally adjusted (x 1,000)",v15180304,1.1.2,1089564
1992/11,Canada,,Sales including concessions,"Seasonally adjusted (x 1,000)",v15180304,1.1.2,1075815
1992/12,Canada,,Sales including concessions,"Seasonally adjusted (x 1,000)",v15180304,1.1.2,1084013
1993/01,Canada,,Sales including concessions,"Seasonally adjusted (x 1,000)",v15180304,1.1.2,1082727
1993/02,Canada,,Sales including concessions,"Seasonally adjusted (x 1,000)",v15180304,1.1.2,1065053
1993/03,Canada,,Sales including concessions,"Seasonally adjusted (x 1,000)",v15180304,1.1.2,1060604
1993/04,Canada,,Sales including concessions,"Seasonally adjusted (x 1,000)",v15180304,1.1.2,1078620
1993/05,Canada,,Sales including concessions,"Seasonally adjusted (x 1,000)",v15180304,1.1.2,1066565
1993/06,Canada,,Sales including concessions,"Seasonally adjusted (x 1,000)",v15180304,1.1.2,1050175
1993/07,Canada,,Sales including concessions,"Seasonally adjusted (x 1,000)",v15180304,1.1.2,1059182
1993/08,Canada,,Sales including concessions,"Seasonally adjusted (x 1,000)",v15180304,1.1.2,1050391
1993/09,Canada,,Sales including concessions,"Seasonally adjusted (x 1,000)",v15180304,1.1.2,1071028
1993/10,Canada,,Sales including concessions,"Seasonally adjusted (x 1,000)",v15180304,1.1.2,1073137
1993/11,Canada,,Sales including concessions,"Seasonally adjusted (x 1,000)",v15180304,1.1.2,1062351
1993/12,Canada,,Sales including concessions,"Seasonally adjusted (x 1,000)",v15180304,1.1.2,1074059
1994/01,Canada,,Sales including concessions,"Seasonally adjusted (x 1,000)",v15180304,1.1.2,1019081
1994/02,Canada,,Sales including concessions,"Seasonally adjusted (x 1,000)",v15180304,1.1.2,1158628
1994/03,Canada,,Sales including concessions,"Seasonally adjusted (x 1,000)",v15180304,1.1.2,1174732
1994/04,Canada,,Sales including concessions,"Seasonally adjusted (x 1,000)",v15180304,1.1.2,1077915
1994/05,Canada,,Sales including concessions,"Seasonally adjusted (x 1,000)",v15180304,1.1.2,1092981
