Ref_Date,GEO,INDUSTRY,SUMMARY,Vector,Coordinate,Value
2013,Prince Edward Island,Full-service restaurants,Operating profit margin (percent),v99848550,3.2.4,3.1
2014,Prince Edward Island,Full-service restaurants,Operating profit margin (percent),v99848550,3.2.4,5.3
2012,Prince Edward Island,Limited-service eating places,"Operating revenue (x 1,000,000)",v99848551,3.3.1,107.4
2013,Prince Edward Island,Limited-service eating places,"Operating revenue (x 1,000,000)",v99848551,3.3.1,108.6
2014,Prince Edward Island,Limited-service eating places,"Operating revenue (x 1,000,000)",v99848551,3.3.1,115.9
2012,Prince Edward Island,Limited-service eating places,"Operating expenses (x 1,000,000)",v99848552,3.3.2,101.0
2013,Prince Edward Island,Limited-service eating places,"Operating expenses (x 1,000,000)",v99848552,3.3.2,102.2
2014,Prince Edward Island,Limited-service eating places,"Operating expenses (x 1,000,000)",v99848552,3.3.2,109.2
2012,Prince Edward Island,Limited-service eating places,"Salaries, wages, commissions and benefits (x 1,000,000)",v99848553,3.3.3,33.5
2013,Prince Edward Island,Limited-service eating places,"Salaries, wages, commissions and benefits (x 1,000,000)",v99848553,3.3.3,34.1
2014,Prince Edward Island,Limited-service eating places,"Salaries, wages, commissions and benefits (x 1,000,000)",v99848553,3.3.3,35.7
2012,Prince Edward Island,Limited-service eating places,Operating profit margin (percent),v99848554,3.3.4,5.9
2013,Prince Edward Island,Limited-service eating places,Operating profit margin (percent),v99848554,3.3.4,5.8
2014,Prince Edward Island,Limited-service eating places,Operating profit margin (percent),v99848554,3.3.4,5.8
2012,Prince Edward Island,Special food services,"Operating revenue (x 1,000,000)",v99848555,3.4.1,x
2013,Prince Edward Island,Special food services,"Operating revenue (x 1,000,000)",v99848555,3.4.1,x
2014,Prince Edward Island,Special food services,"Operating revenue (x 1,000,000)",v99848555,3.4.1,8.5
2012,Prince Edward Island,Special food services,"Operating expenses (x 1,000,000)",v99848556,3.4.2,x
2013,Prince Edward Island,Special food services,"Operating expenses (x 1,000,000)",v99848556,3.4.2,x
2014,Prince Edward Island,Special food services,"Operating expenses (x 1,000,000)",v99848556,3.4.2,7.2
2012,Prince Edward Island,Special food services,"Salaries, wages, commissions and benefits (x 1,000,000)",v99848557,3.4.3,x
